Title,TV Manual Pull Card,,,,,,,,,,,,,,,,
Mrp Whs Grp,Ws Cd,Joc Cd,Vendor Cd,Vendor Name,Disb Charge Cd,Item No,Item Desc,Whs Cd,Std Pack,Plan Lot Size,Usage,Plan Lot Usage Qty,Completed Qty,Open Qty,Parent Item Desc,Start ECN Accum Qty,End ECN Accum Qty
MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL05,24359002,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,504562201,CELL PROTECTOR (L CBN),RC1S1,1,12,1,12,0,12,SV-41447(VN3)/KD-55X85L/TH8,1,12
BTV,FGL05,24359001,PA1099,CLOUD NETWORK TECH SPORE P/L,BRD,100541933,WLAN/BT MODULE(11AC)FXC,RC1B6,1,10,1,10,0,10,SV-41447(VN3)/KD-55X85L/TH8,1,10
BTV,FGL05,24312008,000602,CHIYODA INTEGRE CO.(M) SDN BHD,SP,504571601,"SHEET, INSULATION (L CBN) A",RC1B1,1,80,1,80,0,80,SV-41150(PL1)/XR-55X90L/PL1,1,80
BTV,FGL05,24251008,005753,TKR PRECISION (M) SDN BHD,SB,504487501,BRACKET STAND LEFT (L CBN),RC1B3,1,100,1,100,0,100,SV-41476(TW6)/KM-55X85L/TW6,1,100
BTV,FGL05,24221005,005101,RYOKA (MALAYSIA) SDN BHD,ITCI,500904711,SUPPORTER PIN (COM),RC1B7,1,75,12,900,0,900,SV-41156(HK5)/KD-55X80L/HK5,1,75
BTV,FGL05,24207005,005753,TKR PRECISION (M) SDN BHD,SB,504485901,"SHIELD, T-CON L (COM 2)",RC1B3,1,81,1,81,0,81,SV-41134(VN3)/XR-55X90L/IA2,1,81
BTV,FGL05,24150013,313804,SONY ELECT OPERATIONS (CN) LTD,INJITI,503338801,BEZEL BT ASSY (L EPH),RC1S1,1,216,1,216,0,216,SV-41142(PL1)/KD-55X80L/PL1,1,216
BTV,FGL05,23886007,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502471101,CELL PROTECTOR (L RIS),RC1S1,1,84,1,84,0,84,SV-41112(VN3)/KD-55X80L/UAF1,1,84
BTV,FGL05,23883013,PA1114,HAMBURG (JIANGSU) CO LTD,SP,100650912,FLEXIBLE FLAT CABLE 25P,RC1B1,1,80,1,80,0,80,SV-41112(VN3)/KD-55X80L/AF1,1,80
BTV,FGL05,23883013,PR0162,KEIN HING INDUSTRY SDN BHD,INJIT,503339013,BACK CHASSIS ASSY (L EPH),RC1S1,1,80,1,80,0,80,SV-41112(VN3)/KD-55X80L/AF1,1,80
BTV,FGL05,23880008,102403,IWATA BOLT SINGAPORE PTE LTD,SP,457992601,SCREW M3X3.0 STEP,RC1B1,1,151,1,151,0,151,SV-41112(VN3)/KD-55X80L/TH8,1,151
BTV,FGL05,23880008,108349,BOE TECH (HK) LTD_SCM RM,ITCOCELL,101714111,LIQUID CRYSTAL ELEMENT(B55QUB),RCGS1,1,151,1,151,0,151,SV-41112(VN3)/KD-55X80L/TH8,1,151
BTV,FGL05,23878008,080026,ENTRUST PRECISION (M) SDN BHD,ACC,500986112,VESA SPACER A (COM),RC1B2,1,117,1,117,0,117,SV-41112(VN3)/KD-55X80L/MY1,1,117
BTV,FGL05,23859013,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,504799601,"CARTON, INDIVIDUAL (L EPH2)",RC1S1,1,216,1,216,0,216,SV-41186(TW6)/KM-55X80L/TW6,1,216
BTV,FGL05,23857018,PA1111,ADACHI HOLDINGS LIMITED,SP,101442311,FLEXIBLE FLAT CABLE 68P,RC1B1,1,589,2,1178,0,1178,SV-41112(VN3)/KD-55X80L/VN3,1,589
BTV,FGL05,22522024,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,503554101,REFLECTIVE SHEET (TGR L),RC1S1,1,89,1,89,0,89,SV-40055(VN3)/XR-55X90K/AF1,1,89
BTV,FGL05,22509023,001504,FORMOSA PROSONIC INDUSTRIES BH,SB,501541572,BRACKET SIDE (BNN) A,RC1B3,1,27,1,27,0,27,SV-40055(VN3)/XR-55X90K/MY1,1,27
BTV,FGL05,22509023,313804,SONY ELECT OPERATIONS (CN) LTD,SB,503461501,STAND R (L TGR) A,RC1BB,1,27,1,27,0,27,SV-40055(VN3)/XR-55X90K/MY1,1,27
BTV,FGL06,24631004,005403,SANKO SANGYO (M) SDN BHD,SP,505083202,"LABEL, UP B2B",RC1B1,1,840,1,840,0,840,SV-41543(CEI)/FW-65BZ35L/CEI,1,840
BTV,FGL06,24631004,313804,SONY ELECT OPERATIONS (CN) LTD,ACC,100564112,C7L AC POWER CORD SETS (UK),RC1B2,1,840,1,840,0,840,SV-41543(CEI)/FW-65BZ35L/CEI,1,840
